Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
I,0.271,0.201,0.06,0.097,0.033,0.025,0.024,6
M,0.564,0.44,0.167,1.205,0.494,0.192,0.428,16
M,0.629,0.499,0.159,1.04,0.475,0.195,0.359,10
M,0.637,0.516,0.175,1.635,0.912,0.302,0.401,13
I,0.281,0.228,0.079,0.13,0.068,0.025,0.029,5
I,0.367,0.278,0.077,0.177,0.079,0.049,0.068,6
M,0.62,0.526,0.148,1.295,0.553,0.345,0.326,9
F,0.557,0.454,0.157,0.963,0.315,0.175,0.341,16
M,0.617,0.472,0.152,1.126,0.475,0.266,0.307,9
M,0.322,0.239,0.06,0.118,0.04,0.032,0.04,11
M,0.559,0.482,0.151,1.105,0.458,0.205,0.413,13
F,0.566,0.461,0.175,1.099,0.362,0.176,0.388,17
I,0.575,0.443,0.153,0.628,0.276,0.135,0.225,9
F,0.406,0.29,0.092,0.235,0.081,0.053,0.079,10
M,0.529,0.389,0.145,0.896,0.275,0.174,0.288,12
F,0.48,0.392,0.152,0.647,0.275,0.151,0.214,15
M,0.176,0.129,0.04,0.031,0.011,0.008,0.01,5
F,0.516,0.425,0.135,0.89,0.275,0.155,0.282,19
I,0.409,0.308,0.111,0.375,0.172,0.078,0.114,7
M,0.552,0.417,0.142,0.695,0.317,0.143,0.179,6
M,0.534,0.415,0.147,0.734,0.238,0.132,0.268,22
I,0.436,0.362,0.113,0.461,0.212,0.086,0.141,10
M,0.456,0.385,0.134,0.458,0.217,0.121,0.143,10
M,0.553,0.489,0.162,1.005,0.413,0.231,0.329,10
I,0.512,0.404,0.126,0.624,0.295,0.144,0.147,8
F,0.518,0.429,0.165,0.845,0.312,0.155,0.285,13
M,0.728,0.563,0.215,2.167,1.134,0.526,0.423,10
M,0.61,0.478,0.162,1.018,0.529,0.22,0.253,8
F,0.633,0.5,0.167,1.249,0.572,0.345,0.37,9
F,0.637,0.491,0.168,1.479,0.858,0.252,0.347,11
I,0.298,0.202,0.054,0.105,0.043,0.017,0.034,5
I,0.507,0.398,0.116,0.647,0.25,0.142,0.2,8
M,0.694,0.53,0.197,2.075,1.12,0.473,0.491,10
M,0.587,0.456,0.152,1.003,0.468,0.194,0.271,9
M,0.741,0.573,0.233,1.72,0.607,0.325,0.599,22
I,0.529,0.46,0.14,0.71,0.277,0.148,0.203,9
I,0.487,0.339,0.111,0.344,0.144,0.073,0.116,11
I,0.381,0.291,0.097,0.266,0.138,0.033,0.087,10
F,0.505,0.403,0.13,0.662,0.311,0.174,0.178,10
F,0.617,0.497,0.174,1.154,0.522,0.295,0.31,11
I,0.572,0.424,0.163,0.769,0.344,0.142,0.239,9
F,0.652,0.48,0.176,1.426,0.631,0.334,0.352,9
M,0.579,0.435,0.156,0.955,0.266,0.19,0.355,14
I,0.435,0.327,0.12,0.407,0.17,0.104,0.092,12
F,0.687,0.497,0.167,0.987,0.449,0.271,0.357,10
F,0.479,0.417,0.146,0.686,0.255,0.119,0.25,18
F,0.522,0.427,0.146,0.77,0.249,0.138,0.318,21
I,0.468,0.37,0.14,0.432,0.179,0.121,0.16,8
M,0.512,0.419,0.171,0.693,0.254,0.135,0.246,13
F,0.533,0.451,0.153,0.787,0.304,0.176,0.242,10
M,0.587,0.448,0.13,0.844,0.389,0.19,0.215,9
M,0.624,0.489,0.181,1.234,0.617,0.272,0.337,11
M,0.676,0.542,0.173,1.687,0.805,0.341,0.427,11
I,0.539,0.482,0.144,1.173,0.58,0.229,0.308,9
I,0.387,0.28,0.088,0.222,0.108,0.034,0.063,6
I,0.487,0.358,0.115,0.48,0.238,0.101,0.141,8
F,0.542,0.414,0.125,0.947,0.443,0.202,0.202,9
I,0.242,0.169,0.048,0.054,0.021,0.016,0.016,5
F,0.667,0.506,0.196,1.507,0.626,0.403,0.387,10
I,0.542,0.473,0.142,0.97,0.517,0.17,0.239,9
I,0.551,0.412,0.146,0.731,0.338,0.169,0.212,8
I,0.268,0.195,0.069,0.108,0.491,0.02,0.033,5
M,0.732,0.59,0.212,2.335,0.996,0.488,0.611,11
F,0.525,0.4,0.141,0.774,0.473,0.193,0.193,10
M,0.701,0.586,0.22,1.975,0.676,0.459,0.583,17
M,0.515,0.377,0.156,1.098,0.498,0.233,0.309,9
F,0.601,0.452,0.172,1.041,0.559,0.255,0.225,9
M,0.573,0.414,0.144,0.826,0.389,0.23,0.198,11
M,0.653,0.482,0.171,1.505,0.629,0.357,0.37,9
M,0.6,0.462,0.136,0.999,0.426,0.215,0.29,9
I,0.529,0.4,0.125,0.579,0.251,0.124,0.152,9
F,0.649,0.449,0.143,1.182,0.598,0.225,0.321,9
M,0.626,0.479,0.16,1.153,0.53,0.283,0.33,9
M,0.592,0.488,0.206,1.146,0.55,0.277,0.304,9
F,0.629,0.495,0.188,1.26,0.53,0.332,0.36,9
M,0.41,0.282,0.083,0.26,0.098,0.069,0.091,12
I,0.333,0.268,0.103,0.233,0.112,0.056,0.068,7
I,0.373,0.258,0.084,0.22,0.096,0.047,0.058,7
M,0.516,0.398,0.119,0.758,0.257,0.161,0.267,11
I,0.446,0.308,0.091,0.325,0.156,0.057,0.096,8
M,0.588,0.486,0.141,1.011,0.479,0.264,0.271,7
I,0.561,0.418,0.129,0.87,0.46,0.171,0.199,9
F,0.488,0.364,0.15,0.594,0.21,0.141,0.19,9
I,0.226,0.177,0.056,0.07,0.027,0.012,0.018,6
M,0.629,0.541,0.158,1.42,0.725,0.363,0.324,10
F,0.562,0.456,0.14,0.956,0.389,0.198,0.307,17
M,0.625,0.464,0.167,1.055,0.479,0.248,0.266,9
I,0.384,0.305,0.093,0.299,0.136,0.06,0.075,5
M,0.689,0.518,0.187,1.397,0.597,0.408,0.413,10
F,0.73,0.578,0.225,2.235,1.135,0.428,0.541,9
I,0.376,0.27,0.074,0.182,0.078,0.034,0.053,6
M,0.515,0.391,0.134,0.814,0.211,0.179,0.251,15
F,0.556,0.448,0.143,0.935,0.377,0.262,0.291,9
M,0.561,0.463,0.164,0.906,0.336,0.173,0.336,10
I,0.305,0.21,0.087,0.131,0.049,0.035,0.038,6
M,0.641,0.48,0.146,1.239,0.664,0.243,0.295,11
M,0.543,0.407,0.139,0.814,0.379,0.198,0.192,7
M,0.688,0.528,0.187,1.621,0.673,0.342,0.494,10
I,0.326,0.247,0.071,0.149,0.056,0.039,0.042,6
F,0.644,0.52,0.17,1.33,0.589,0.313,0.356,9
M,0.555,0.477,0.179,0.869,0.311,0.184,0.328,10
M,0.649,0.527,0.17,1.356,0.428,0.266,0.501,10
F,0.674,0.524,0.179,1.506,0.685,0.28,0.433,11
F,0.563,0.398,0.129,0.811,0.428,0.192,0.177,8
F,0.684,0.554,0.166,1.75,0.817,0.369,0.49,11
I,0.433,0.313,0.103,0.307,0.124,0.057,0.103,7
M,0.612,0.493,0.198,1.153,0.495,0.342,0.293,11
F,0.612,0.48,0.159,1.145,0.436,0.178,0.152,11
I,0.584,0.416,0.132,0.752,0.298,0.209,0.218,8
M,0.596,0.489,0.177,1.167,0.492,0.324,0.342,10
F,0.608,0.444,0.141,0.695,0.318,0.13,0.221,8
M,0.591,0.481,0.167,1.12,0.509,0.292,0.362,10
F,0.574,0.464,0.143,0.782,0.363,0.163,0.255,18
F,0.569,0.46,0.15,1.061,0.445,0.114,0.291,12
I,0.494,0.404,0.15,0.585,0.234,0.137,0.178,9
F,0.715,0.524,0.183,1.715,0.716,0.427,0.401,12
F,0.355,0.289,0.114,0.221,0.096,0.046,0.073,10
I,0.395,0.314,0.099,0.266,0.101,0.05,0.094,6
F,0.583,0.429,0.152,1.004,0.525,0.195,0.276,10
M,0.413,0.293,0.122,0.324,0.12,0.093,0.096,7
M,0.507,0.37,0.12,0.636,0.236,0.172,0.204,12
I,0.447,0.354,0.113,0.415,0.189,0.098,0.121,8
M,0.482,0.418,0.133,0.781,0.316,0.192,0.226,11
M,0.577,0.491,0.115,0.907,0.399,0.205,0.267,14
I,0.207,0.152,0.054,0.048,0.016,0.012,0.016,5
I,0.483,0.373,0.126,0.592,0.256,0.12,0.176,8
M,0.639,0.508,0.163,1.455,0.775,0.243,0.426,11
F,0.554,0.44,0.129,0.977,0.399,0.261,0.259,9
F,0.577,0.472,0.227,1.116,0.3,0.202,0.39,14
F,0.529,0.398,0.159,0.689,0.277,0.149,0.21,10
M,0.681,0.528,0.166,1.147,0.505,0.208,0.391,12
F,0.531,0.432,0.147,0.685,0.302,0.148,0.236,10
F,0.629,0.515,0.165,1.164,0.436,0.215,0.411,16
F,0.554,0.479,0.178,1.118,0.463,0.202,0.363,9
F,0.571,0.475,0.191,1.057,0.368,0.203,0.329,10
I,0.476,0.359,0.102,0.137,0.195,0.089,0.117,7
I,0.373,0.285,0.087,0.215,0.08,0.058,0.053,6
M,0.625,0.447,0.157,1.246,0.582,0.268,0.291,11
I,0.131,0.098,0.035,0.01,0.005,0.006,0.003,4
I,0.332,0.254,0.071,0.171,0.067,0.047,0.046,5
F,0.662,0.536,0.198,1.314,0.529,0.308,0.432,10
M,0.616,0.478,0.195,1.209,0.436,0.309,0.338,11
F,0.634,0.463,0.152,1.219,0.529,0.312,0.285,10
F,0.665,0.515,0.196,1.416,0.574,0.267,0.413,12
M,0.53,0.42,0.161,0.848,0.321,0.164,0.325,15
F,0.694,0.525,0.214,1.742,0.674,0.378,0.489,14
M,0.563,0.43,0.166,0.885,0.377,0.218,0.258,12
I,0.153,0.114,0.036,0.022,0.007,0.004,0.005,5
F,0.678,0.535,0.2,1.481,0.655,0.291,0.401,11
I,0.356,0.256,0.086,0.204,0.1,0.039,0.054,6
F,0.502,0.392,0.138,0.66,0.232,0.179,0.201,9
I,0.553,0.4,0.133,0.706,0.31,0.185,0.203,8
M,0.348,0.267,0.087,0.189,0.075,0.038,0.079,7
I,0.19,0.143,0.051,0.036,0.013,0.008,0.011,4
I,0.542,0.437,0.131,0.708,0.335,0.148,0.208,9
M,0.662,0.519,0.196,1.22,0.531,0.28,0.441,12
M,0.719,0.545,0.203,1.353,0.926,0.453,0.456,11
M,0.738,0.53,0.18,1.757,0.851,0.347,0.451,10
F,0.69,0.548,0.192,1.797,0.797,0.385,0.385,11
F,0.654,0.523,0.177,1.341,0.672,0.311,0.316,11
M,0.537,0.44,0.137,0.871,0.293,0.226,0.256,10
I,0.303,0.227,0.079,0.124,0.046,0.04,0.036,5
M,0.727,0.587,0.231,1.886,0.824,0.448,0.508,18
M,0.569,0.452,0.144,0.89,0.37,0.143,0.269,11
F,0.644,0.541,0.166,1.69,0.737,0.388,0.437,11
F,0.609,0.479,0.178,1.111,0.489,0.276,0.31,19
I,0.474,0.359,0.106,0.412,0.174,0.086,0.123,7
I,0.478,0.345,0.102,0.411,0.174,0.091,0.121,8
F,0.572,0.463,0.134,0.879,0.443,0.227,0.251,10
F,0.52,0.418,0.15,0.805,0.403,0.186,0.198,9
F,0.68,0.501,0.193,1.525,0.638,0.322,0.411,9
F,0.568,0.441,0.14,0.891,0.482,0.14,0.214,10
M,0.341,0.259,0.083,0.223,0.102,0.048,0.062,14
I,0.331,0.242,0.084,0.17,0.077,0.035,0.048,5
I,0.207,0.152,0.029,0.039,0.012,0.005,0.01,5
I,0.326,0.261,0.084,0.178,0.071,0.039,0.056,6
M,0.495,0.403,0.122,0.585,0.303,0.09,0.154,8
F,0.461,0.371,0.176,0.431,0.151,0.117,0.128,8
M,0.511,0.382,0.138,0.705,0.242,0.178,0.197,16
F,0.544,0.446,0.148,0.75,0.311,0.152,0.235,11
F,0.605,0.435,0.153,0.868,0.424,0.165,0.253,8
I,0.555,0.409,0.148,0.743,0.368,0.163,0.217,10
I,0.481,0.345,0.117,0.565,0.242,0.096,0.18,8
I,0.348,0.265,0.088,0.229,0.102,0.036,0.078,7
I,0.535,0.461,0.125,0.655,0.302,0.141,0.216,12
I,0.483,0.369,0.097,0.528,0.256,0.094,0.134,8
F,0.291,0.223,0.07,0.145,0.058,0.033,0.047,7
I,0.266,0.193,0.062,0.111,0.059,0.013,0.035,7
M,0.478,0.392,0.131,0.645,0.252,0.138,0.205,12
I,0.528,0.369,0.119,0.589,0.26,0.141,0.18,7
F,0.668,0.504,0.189,1.414,0.487,0.325,0.428,18
I,0.508,0.387,0.121,0.583,0.274,0.138,0.125,9
I,0.524,0.443,0.156,0.725,0.307,0.125,0.233,9
I,0.401,0.298,0.096,0.269,0.125,0.056,0.09,7
M,0.586,0.447,0.162,1.036,0.506,0.228,0.29,9
I,0.58,0.425,0.145,0.856,0.43,0.215,0.2,8
I,0.535,0.458,0.139,0.911,0.396,0.154,0.275,11
I,0.401,0.321,0.108,0.363,0.165,0.082,0.092,6
I,0.393,0.287,0.091,0.24,0.099,0.038,0.075,7
M,0.524,0.409,0.119,0.978,0.356,0.17,0.306,13
M,0.621,0.463,0.234,1.197,0.497,0.214,0.366,11
F,0.698,0.546,0.218,2.164,1.065,0.499,0.506,14
I,0.497,0.349,0.166,0.846,0.296,0.184,0.324,9
M,0.51,0.38,0.14,0.594,0.239,0.159,0.175,8
I,0.442,0.344,0.104,0.337,0.152,0.048,0.115,7
M,0.637,0.497,0.171,1.292,0.571,0.283,0.332,9
F,0.618,0.464,0.178,1.066,0.351,0.313,0.324,13
M,0.61,0.525,0.197,1.4,0.55,0.314,0.461,17
M,0.494,0.371,0.141,0.56,0.232,0.071,0.2,11
M,0.537,0.427,0.143,0.719,0.329,0.167,0.22,8
F,0.636,0.517,0.169,1.201,0.694,0.269,0.313,9
I,0.44,0.321,0.115,0.36,0.136,0.085,0.119,11
I,0.407,0.296,0.1,0.353,0.162,0.077,0.085,7
F,0.555,0.476,0.165,0.976,0.488,0.192,0.231,10
F,0.674,0.49,0.156,1.118,0.616,0.224,0.293,12
F,0.614,0.437,0.155,1.092,0.437,0.232,0.295,10
F,0.5,0.391,0.125,0.664,0.272,0.211,0.161,15
M,0.587,0.478,0.176,1.023,0.402,0.251,0.317,9
I,0.571,0.434,0.129,0.725,0.338,0.106,0.241,11
M,0.53,0.412,0.102,0.85,0.443,0.169,0.191,9
M,0.555,0.466,0.165,1.076,0.409,0.219,0.299,13
I,0.275,0.197,0.065,0.11,0.049,0.023,0.029,5
M,0.276,0.214,0.063,0.094,0.037,0.021,0.029,5
F,0.683,0.533,0.197,1.331,0.588,0.329,0.411,10
I,0.181,0.133,0.031,0.029,0.016,0.015,0.01,6
F,0.622,0.535,0.193,1.368,0.451,0.233,0.542,13
M,0.427,0.316,0.118,0.39,0.154,0.084,0.128,12
M,0.71,0.547,0.208,2.052,1.157,0.431,0.508,12
F,0.53,0.406,0.153,0.779,0.262,0.179,0.285,9
M,0.385,0.295,0.094,0.267,0.108,0.053,0.1,9
F,0.506,0.407,0.137,0.632,0.303,0.121,0.18,8
I,0.366,0.268,0.083,0.201,0.084,0.035,0.061,4
F,0.654,0.535,0.19,1.556,0.686,0.418,0.392,11
I,0.562,0.444,0.147,0.865,0.372,0.214,0.257,11
F,0.58,0.451,0.139,0.775,0.389,0.155,0.229,9
M,0.727,0.612,0.207,2.029,0.879,0.484,0.626,12
M,0.668,0.527,0.081,1.024,0.539,0.179,0.178,10
F,0.661,0.502,0.18,1.495,0.734,0.37,0.417,10
I,0.531,0.394,0.148,0.555,0.252,0.113,0.175,8
M,0.641,0.473,0.146,1.059,0.511,0.238,0.307,10
I,0.451,0.349,0.113,0.504,0.278,0.09,0.132,7
F,0.62,0.464,0.173,1.031,0.469,0.223,0.324,9
I,0.229,0.16,0.045,0.046,0.024,0.016,0.015,4
M,0.551,0.419,0.154,0.941,0.289,0.253,0.335,14
M,0.518,0.428,0.127,0.675,0.287,0.14,0.228,9
M,0.506,0.371,0.133,0.7,0.221,0.132,0.272,12
F,0.619,0.48,0.173,1.367,0.709,0.305,0.325,8
I,0.36,0.243,0.071,0.176,0.064,0.046,0.053,6
I,0.514,0.398,0.125,0.634,0.303,0.14,0.189,9
M,0.686,0.498,0.212,1.729,0.928,0.399,0.419,11
I,0.281,0.206,0.075,0.083,0.029,0.02,0.031,7
I,0.51,0.397,0.135,0.55,0.209,0.112,0.219,12
I,0.229,0.131,0.073,0.158,0.071,0.036,0.046,5
F,0.577,0.453,0.135,0.966,0.381,0.192,0.311,11
M,0.626,0.502,0.145,0.972,0.473,0.228,0.284,11
I,0.335,0.271,0.07,0.182,0.062,0.04,0.069,7
M,0.66,0.495,0.176,1.896,1.016,0.485,0.355,13
M,0.567,0.449,0.146,1.002,0.455,0.23,0.231,9
F,0.523,0.409,0.115,0.795,0.31,0.185,0.214,8
M,0.552,0.46,0.159,0.929,0.426,0.179,0.224,10
I,0.419,0.349,0.105,0.366,0.176,0.089,0.111,6
F,0.391,0.322,0.122,0.326,0.128,0.054,0.098,8
M,0.62,0.47,0.195,1.329,0.605,0.321,0.363,10
F,0.549,0.438,0.176,0.989,0.374,0.166,0.282,19
F,0.547,0.456,0.148,0.918,0.389,0.255,0.256,10
I,0.268,0.199,0.074,0.125,0.055,0.011,0.034,5
M,0.566,0.422,0.139,0.877,0.4,0.189,0.221,9
M,0.469,0.371,0.105,0.509,0.201,0.109,0.151,8
M,0.671,0.557,0.183,1.361,0.519,0.266,0.448,16
F,0.464,0.372,0.106,0.508,0.223,0.123,0.151,13
I,0.595,0.456,0.135,0.818,0.356,0.167,0.295,9
M,0.529,0.447,0.139,0.847,0.339,0.183,0.248,10
F,0.66,0.458,0.183,1.486,0.436,0.341,0.479,13
I,0.564,0.447,0.155,0.783,0.333,0.163,0.298,11
M,0.631,0.481,0.174,1.269,0.572,0.302,0.334,10
M,0.48,0.415,0.128,0.595,0.262,0.145,0.212,11
F,0.695,0.537,0.163,1.591,0.62,0.396,0.434,10
F,0.639,0.569,0.185,1.813,0.679,0.327,0.567,11
M,0.507,0.447,0.168,0.873,0.391,0.189,0.243,16
M,0.493,0.373,0.116,0.585,0.248,0.122,0.153,8
M,0.465,0.375,0.125,0.656,0.261,0.174,0.185,10
M,0.336,0.27,0.102,0.227,0.092,0.053,0.076,7
